title|episodes|rate|genre|
Moyashimon|22|4.5|comedy, slice of life|
"Boku-no-imoutowa""Osaka-okan"""|12|3.43|comedy, slice of life|
Senryu Girl|12|4.77|comedy, slice of life|
Anime de Training! Ex|24|3.77|comedy, slice of life|
BAKUON!!|12|4.36|comedy, slice of life|
A Destructive God Sits Next to Me|1|3.52|comedy, slice of life|
Pan de Peace!|13|3.25|comedy, slice of life|
Slow Start|12|4.14|comedy, slice of life|
JK-Meshi!|26|2.36|comedy, slice of life|
Anime-Gataris|12|4.14|comedy, slice of life|
Ooya-san wa Shishunki!|12|4.45|comedy, slice of life|
Wakaba＊Girl|13|4|comedy, slice of life|
Pikotaro no LULLABY LA LA BY|12|4.75|comedy, slice of life|
Hi-sCool! Seha Girls|13|4.31|comedy, slice of life|
Onara Goro|11|3.56|comedy, slice of life|
Wagamama High Spec|12|2.62|comedy, slice of life|
Mitchiri Neko|13|4.43|comedy, slice of life|
Tesagure! Bukatsumono|36|3.86|comedy, slice of life|
Wooser's Hand-to-Mouth Life|24|3.77|comedy, slice of life|
World Fool News|12|3.62|comedy, slice of life|
Love Rice|24|3.46|comedy, slice of life|
BONO BONO|154|4.92|comedy, slice of life|
Miss Bernard said.|12|4.42|comedy, slice of life|
Null & Peta|12|3.92|comedy, slice of life|
Urawa no Usagi-chan|12|2.58|comedy, slice of life|
ROOM CAMP|11|4.27|comedy, slice of life|
Piacevole|12|4.9|comedy, slice of life|
ANISAVA||4|comedy, slice of life|
Ebiten||3.6|comedy, slice of life|
Shin Atashinchi|26|4.88|comedy, slice of life|
Working Buddies!|25|4.25|comedy, slice of life|
Ai-Mai-Mi Mousou Catastrophe|12|3.88|comedy, slice of life|
The Nameko Families|13|3.75|comedy, slice of life|
Rainy Cocoa sideG|12|1.88|comedy, slice of life|
Ai-Mai-Mi Surgical Friends|12|3.86|comedy, slice of life|
Late night! The Genius Bakabon|12|3.86|comedy, slice of life|
Rainy Cocoa|24|2.33|comedy, slice of life|
Strike Witches: 51st JOINT FIGHTER WING Take Off!||4|comedy, slice of life|
1% Teacher Pascal||3.25|comedy, slice of life|
Magic of Stella|12|5|comedy, slice of life|
The Glass Mask Year 3 Class D|13|4|comedy, slice of life|
Chiruran 1/2|12|3.5|comedy, slice of life|
Wooser’s Hand-to-Mouth Life: Phantasmagoric Arc|13|4|comedy, slice of life|
Gabriel DropOut|12|4.32|comedy, shonen, slice of life, supernatural|
Teekyu|18|4.28|comedy, shonen, slice of life, sports|
Long Riders!|12|4.2|comedy, shonen, slice of life, sports|
SKET Dance|77|4.77|comedy, shonen, slice of life|
WATAMOTE ~No Matter How I Look at It, It’s You Guys Fault I’m Not Popular!~||4.42|comedy, shonen, slice of life|
Tanaka-kun is Always Listless|12|4.73|comedy, shonen, slice of life|
Hitoribocchi no Marumaruseikatsu|12|4.76|comedy, shonen, slice of life|
Takamiya Nasuno Desu!|12|3.5|comedy, shonen, slice of life|
Yatogame-chan Kansatsu Nikki|23|3.2|comedy, shonen, slice of life|
Sketchbook ~full color's~||4.8|comedy, shonen, slice of life|
Osomatsu-kun|||comedy, shonen, slice of life|
Mangirl!|13|3.35|comedy, shonen|
Cromartie High School||4.73|comedy, shonen|
Skull-face Bookseller Honda-san|12|4.61|comedy, shojo, slice of life|
The Highschool Life of a Fudanshi|12|3.7|comedy, shojo, slice of life|
Sanrio Boys|12|4.41|comedy, shojo, slice of life|
Super Gals!||5|comedy, shojo, slice of life|
Gakuen Alice||5|comedy, shojo|
Fastest Finger First|12|3.89|comedy, seinen, sports|
Interviews with Monster Girls|26|4.66|comedy, seinen, slice of life, supernatural|
Haven’t You Heard? I’m Sakamoto|13|4.57|comedy, seinen, slice of life|
Non Non Biyori|24|4.77|comedy, seinen, slice of life|
GA Geijutsuka Art Design Class||4.59|comedy, seinen, slice of life|
Barakamon||4.85|comedy, seinen, slice of life|
HaNaYaMaTa|12|4.58|comedy, seinen, slice of life|
Wakakozake|12|4.75|comedy, seinen, slice of life|
Gourmet Girl Graffiti||4.51|comedy, seinen, slice of life|
UzaMaid!|13|3.83|comedy, seinen, slice of life|
This Art Club Has a Problem!|12|4.1|comedy, seinen, slice of life|
Genshiken|13|4.5|comedy, seinen, slice of life|
Action Heroine Cheer Fruits||3.5|comedy, seinen, slice of life|
Moritasan wa Mukuchi||4.51|comedy, seinen|
Upotte!!|1|4.14|comedy, seinen|
Pastel Memories|11|2.71|comedy, sci-fi, slice of life|
Makeruna!! Aku no Gundan!|12|4|comedy, sci-fi, shonen|
PriPri Chi-chan!!||5|comedy, sci-fi, shojo|
Straight Title Robot Anime|12|3.8|comedy, sci-fi|
HEYBOT!|5|2.86|comedy, sci-fi|
Nyanbo!|26|4.8|comedy, sci-fi|
Crane Game Girls|25|2|comedy, sci-fi|
NATSU NO ARASHI !||4.46|comedy, romance, supernatural|
Actually, I Am|13|4.2|comedy, romance, supernatural|
Kamisama Hajimemashita|25|4.9|comedy, romance, supernatural|
Rascal Does Not Dream of Bunny Girl Senpai|13|4.88|comedy, romance, slice of life, supernatural|
Nogizaka Haruka no Himitsu||4.85|comedy, romance, slice of life|
Nogizaka Haruka no Himitsu - Purezza -||4.76|comedy, romance, slice of life|
GAMERS!|12|3.83|comedy, romance, slice of life|
KARAKAI JOZU NO TAKAGI-SAN|12|4.82|comedy, romance, slice of life|
Jingai-san no Yome|12|3.44|comedy, romance, slice of life|
Sakura Trick||4.47|comedy, romance, slice of life|
Engaged to the Unidentified||4.38|comedy, romance, slice of life|
Science Fell in Love, So I Tried to Prove it|13|4.33|comedy, romance, slice of life|
Ojisan and Marshmallow|13|4.49|comedy, romance, slice of life|
Kaede New Town||4.43|comedy, romance, slice of life|
Dagashi Kashi|12|4.2|comedy, romance, slice of life|
Asteroid in Love|12|4.36|comedy, romance, slice of life|
Crossing Time|12|3.86|comedy, romance, slice of life|
Nisekoi|33|4.28|comedy, romance, shonen, slice of life|
Silver Spoon|22|4.91|comedy, romance, shonen, slice of life|
Wolf Girl and Black Prince|12|3.95|comedy, romance, shojo, slice of life|
My Little Monster|13|4.53|comedy, romance, shojo|
I Can't Understand What My Husband Is Saying|26|4.65|comedy, romance, seinen, slice of life|
Tonari no Seki-kun: The Master of Killing Time|21|4.7|comedy, romance, seinen, slice of life|
Love is Like a Cocktail|13|4.11|comedy, romance, seinen, slice of life|
The Kawai Complex Guide to Manors and Hostel Behavior||4.59|comedy, romance, seinen, slice of life|
Servant x Service|13|4.7|comedy, romance, seinen, slice of life|
KAGUYA-SAMA: LOVE IS WAR|12|4.83|comedy, romance, seinen|
How clumsy you are, Miss Ueno.|12|4.35|comedy, romance, seinen|
Magic User's Club||5|comedy, romance, sci-fi, supernatural|
Magic User's Club OVA|||comedy, romance, sci-fi, supernatural|
Mysterious Girlfriend X|13|4.69|comedy, romance|
Nyarko-san: Another Crawling Chaos|45|4.47|comedy, romance|
Monthly Girls' Nozaki-kun|12|4.8|comedy, romance|
Love Lab|13|4.58|comedy, romance|
Ao-chan Can't Study!|12|4.56|comedy, romance|
My Sweet Tyrant|25|4.1|comedy, romance|
Love To-LIE-Angle|12|3.31|comedy, romance|
Inugami-san to Nekoyama-san|12|4.33|comedy, romance|
Arakawa Under the Bridge||4.76|comedy, romance|
momokuri|13|4.4|comedy, romance|
AMAZING STRANGER|12|3.73|comedy, romance|
Donyatsu|12|4.33|comedy, postapocalyptic|
The Lost Village|12|3.9|comedy, mystery, supernatural, thriller|
Angel's 3Piece!|12|3.72|comedy, music, slice of life|
Tonkatsu DJ Agetaro|12|4.62|comedy, music, shonen, slice of life|
Locodol|15|4.4|comedy, music, seinen, slice of life|
ClassicaLoid|25|3.91|comedy, music, sci-fi|
BanG Dream!|26|4.47|comedy, music|
Space Battleship Tiramisu||4.62|comedy, mechas, sci-fi, seinen, slice of life|
Martian Successor Nadesico||5|comedy, mechas, sci-fi|
Ultra Maniac||3.5|comedy, magical girls, romance, shojo|
Bludgeoning Angel Dokuro-chan||4.6|comedy, magical girls, romance|
Happy Boys||4.91|comedy, jdrama, romance|
Biyou Shounen Celebrity||4.77|comedy, jdrama|
Girlish number|12|4.2|comedy, idols, slice of life|
Miss Monochrome - The Animation|39|3.88|comedy, idols, sci-fi, slice of life|
Sekko Boys|12|3.65|comedy, idols, music, slice of life|
Starmyu|24|4.36|comedy, idols, music, slice of life|
THE [email protected] CINDERELLA GIRLS Theater|92|3.75|comedy, idols, music, slice of life|
Crunchyroll Collection||3|comedy, idols|
The Royal Tutor|13|4.55|comedy, historical, shonen, slice of life|
Ikemen Sengoku: Bromances Across Time|12|5|comedy, historical, romance|
